time,_time_gateway,ACT_SNR_PMP_BO_0,ACT_SNR_PMP_BO_1,ACT_SNR_PMP_BO_2,ACT_SNR_PMP_BO_3,ACT_SNR_PMP_BO_4,SNR_NOX_PRED,SNR_STATUS_CODE,SNR_STAGE,SNR_MESSAGE,SNR_PMP_UW_S_1,BR1_EO_FG_A,ICF_CCS_FG_T_1,ICF_SCS_FG_T_2,ICF_TMS_NOX_A,ACC_SNR_AI_1A,ACT_STATUS,NOX_30m_Value,NOX_EQ_Status,NOX_Value,SNR_EQ_UW_F_1,ACT_SNR_PMP_UW_S,IncineratorStatus,SNR_UREA_SAVING_RATE,SNR_NOX_PRED_MAE
2025-11-19 10:54:01+00:00,2025-11-19 10:54:01,,,,,,,,,,17.6812496,0.0,979.0,1109.63123,0.0,,,11.3,0.0,9.59,,,0.0,,
2025-11-19 10:54:02+00:00,2025-11-19 10:54:02,,,,,,,,,,17.6812496,0.0,979.0,1109.63123,0.0,,,11.3,0.0,9.59,,,0.0,,
2025-11-19 10:54:03+00:00,2025-11-19 10:54:03,,,,,,,,,,17.6812496,0.0,980.0,1109.38745,0.0,,,11.3,0.0,9.59,,,0.0,,
2025-11-19 10:54:04+00:00,2025-11-19 10:54:04,,,,,,,,,,17.6812496,0.0,980.0,1109.38745,0.0,,,11.3,0.0,9.59,,,0.0,,
2025-11-19 10:54:05+00:00,2025-11-19 10:54:05,20.0,20.0,20.0,20.0,20.0,,2.0,FALLBACK,Fallback Hz 사용: 20.0Hz (essential_range_violation),17.6812496,0.0,979.0,1107.59998,0.0,,,11.3,0.0,9.59,,,0.0,,
2025-11-19 10:54:06+00:00,2025-11-19 10:54:06,,,,,,,,,,17.6812496,0.0,979.0,1108.3313,0.0,,,11.3,0.0,9.59,,,0.0,,
2025-11-19 10:54:07+00:00,2025-11-19 10:54:07,,,,,,,,,,17.6812496,0.0,979.0,1107.27502,0.0,,,11.3,0.0,9.59,,,0.0,,
2025-11-19 10:54:08+00:00,2025-11-19 10:54:08,,,,,,,,,,17.6812496,0.0,979.0,1107.27502,0.0,,,11.3,0.0,9.59,,,0.0,,
2025-11-19 10:54:09+00:00,2025-11-19 10:54:09,,,,,,,,,,17.6812496,0.0,980.0,1107.92505,0.0,,,11.3,0.0,9.59,,,0.0,,
2025-11-19 10:54:10+00:00,2025-11-19 10:54:10,20.0,20.0,20.0,20.0,20.0,,2.0,FALLBACK,Fallback Hz 사용: 20.0Hz (essential_range_violation),17.6812496,0.0,980.0,1107.92505,0.0,,,11.3,0.0,9.59,,,0.0,,
2025-11-19 10:54:11+00:00,2025-11-19 10:54:11,,,,,,,,,,17.6812496,0.0,980.0,1106.13745,0.0,,,11.3,0.0,9.59,,,0.0,,
2025-11-19 10:54:12+00:00,2025-11-19 10:54:12,,,,,,,,,,17.6812496,0.0,978.0,1106.21875,0.0,,,11.3,0.0,9.59,,,0.0,,
2025-11-19 10:54:13+00:00,2025-11-19 10:54:13,,,,,,,,,,17.6812496,0.0,978.0,1106.21875,0.0,,,11.3,0.0,9.59,,,0.0,,
2025-11-19 10:54:14+00:00,2025-11-19 10:54:14,,,,,,,,,,17.6812496,0.0,979.0,1106.21875,0.0,,,11.3,0.0,9.59,,,0.0,,
2025-11-19 10:54:15+00:00,2025-11-19 10:54:15,20.0,20.0,20.0,20.0,20.0,,2.0,FALLBACK,Fallback Hz 사용: 20.0Hz (essential_range_violation),17.6812496,0.0,978.0,1105.8938,0.0,,,11.3,0.0,9.59,,,0.0,,
2025-11-19 10:54:16+00:00,2025-11-19 10:54:16,,,,,,,,,,17.6812496,0.0,978.0,1105.48755,0.0,,,11.3,0.0,9.59,,,0.0,,
2025-11-19 10:54:17+00:00,2025-11-19 10:54:17,,,,,,,,,,17.6812496,0.0,978.0,1105.48755,0.0,,,11.3,0.0,9.59,,,0.0,,
2025-11-19 10:54:18+00:00,2025-11-19 10:54:18,,,,,,,,,,17.6812496,0.0,978.0,1105.48755,0.0,,,11.3,0.0,9.59,,,0.0,,
2025-11-19 10:54:19+00:00,2025-11-19 10:54:19,,,,,,,,,,17.6812496,0.0,977.0,1104.1875,0.0,,,11.3,0.0,9.59,,,0.0,,
2025-11-19 10:54:20+00:00,2025-11-19 10:54:20,20.0,20.0,20.0,20.0,20.0,,2.0,FALLBACK,Fallback Hz 사용: 20.0Hz (essential_range_violation),17.6812496,0.0,976.0,1104.1875,0.0,,,11.3,0.0,9.59,,,0.0,,
2025-11-19 10:54:21+00:00,2025-11-19 10:54:21,,,,,,,,,,17.6812496,0.0,976.0,1104.9187,0.0,,,11.3,0.0,9.59,,,0.0,,
2025-11-19 10:54:22+00:00,2025-11-19 10:54:22,,,,,,,,,,17.6812496,0.0,976.0,1104.51245,0.0,,,11.3,0.0,9.59,,,0.0,,
2025-11-19 10:54:23+00:00,2025-11-19 10:54:23,,,,,,,,,,17.6812496,0.0,976.0,1104.51245,0.0,,,11.3,0.0,9.59,,,0.0,,
2025-11-19 10:54:24+00:00,2025-11-19 10:54:24,,,,,,,,,,17.6812496,0.0,976.0,1104.9187,0.0,,,11.3,0.0,9.59,,,0.0,,
2025-11-19 10:54:25+00:00,2025-11-19 10:54:25,20.0,20.0,20.0,20.0,20.0,,2.0,FALLBACK,Fallback Hz 사용: 20.0Hz (essential_range_violation),17.6812496,0.0,976.0,1105.24377,0.0,,,11.3,0.0,9.59,,,0.0,,
2025-11-19 10:54:26+00:00,2025-11-19 10:54:26,,,,,,,,,,17.6812496,0.0,976.0,1105.24377,0.0,,,11.3,0.0,9.59,,,0.0,,
2025-11-19 10:54:27+00:00,2025-11-19 10:54:27,,,,,,,,,,17.6812496,0.0,976.0,1104.02502,0.0,,,11.3,0.0,9.59,,,0.0,,
2025-11-19 10:54:28+00:00,2025-11-19 10:54:28,,,,,,,,,,17.6812496,0.0,976.0,1103.94373,0.0,,,11.3,0.0,9.59,,,0.0,,
