time,_time_gateway,ACT_SNR_PMP_BO_0,ACT_SNR_PMP_BO_1,ACT_SNR_PMP_BO_2,ACT_SNR_PMP_BO_3,ACT_SNR_PMP_BO_4,SNR_NOX_PRED,SNR_STATUS_CODE,SNR_STAGE,SNR_MESSAGE,SNR_PMP_UW_S_1,BR1_EO_O2_A,ICF_CCS_FG_T_1,ICF_SCS_FG_T_1,ICF_TMS_NOX_A,ACC_SNR_AI_1A,ACT_STATUS,NOX_30m_Value,NOX_EQ_Status,NOX_Value,SNR_EQ_UW_F_1,ACT_SNR_PMP_UW_S,SNR_EQ_UW_F_1_1,SNR_EQ_DW_F_1,SNR_EQ_UW_F_2,IncineratorStatus,SNR_UREA_SAVING_RATE,SNR_NOX_PRED_MAE
2025-11-05 05:30:13+00:00,2025-11-05 05:30:13,,,,,,,,,,38.7675018,11.3968754,1087.875,941.174988,27.0874996,1.0,,19.7,0.0,26.89,65.3625031,,65.3625031,0.0,120.0,0.0,,
2025-11-05 05:30:14+00:00,2025-11-05 05:30:14,,,,,,,,,,38.7787514,11.4578123,1087.34998,941.099976,27.5874996,1.0,,19.7,0.0,26.89,65.3812485,,65.3812485,0.0,120.074997,0.0,,
2025-11-05 05:30:15+00:00,2025-11-05 05:30:15,38.0,38.0,38.0,38.0,38.0,22.25924090337897,100.0,BO_ONLY,"BO 모델 결과만 사용 (1단계 롤백, 2~4단계에서 Hz 변화 없음)",38.7712517,11.4578123,1086.44995,940.950012,27.6000004,1.0,,19.7,0.0,27.16,65.3812485,43.20680375729881,65.3812485,0.0,120.074997,0.0,,
2025-11-05 05:30:16+00:00,2025-11-05 05:30:16,,,,,,,,,,38.7787514,11.5109377,1085.84998,940.799988,27.6000004,1.0,,19.7,0.0,27.16,65.3625031,,65.3625031,0.0,120.074997,0.0,,
2025-11-05 05:30:17+00:00,2025-11-05 05:30:17,,,,,,,,,,38.7750015,11.5578127,1085.02502,940.724976,27.6000004,1.0,,19.7,0.0,27.16,64.9875031,,64.9875031,0.0,120.0,0.0,,
2025-11-05 05:30:18+00:00,2025-11-05 05:30:18,,,,,,,,,,38.7787514,11.5578127,1084.42505,940.650024,27.6000004,1.0,,19.7,0.0,27.16,65.0062485,,65.0062485,0.0,120.074997,0.0,,
2025-11-05 05:30:19+00:00,2025-11-05 05:30:19,,,,,,,,,,38.7712517,11.5968752,1083.52502,940.5,27.6875,1.0,,19.7,0.0,27.16,65.0062485,,65.0062485,0.0,120.0,0.0,,
2025-11-05 05:30:20+00:00,2025-11-05 05:30:20,38.0,38.0,38.0,38.0,38.0,22.13094564937266,100.0,BO_ONLY,"BO 모델 결과만 사용 (1단계 롤백, 2~4단계에서 Hz 변화 없음)",38.7750015,11.5968752,1082.92505,940.424988,27.7625008,1.0,,19.7,0.0,27.16,64.9875031,,64.9875031,0.0,120.074997,0.0,,
2025-11-05 05:30:21+00:00,2025-11-05 05:30:21,,,,,,,,,,38.7712517,11.6312504,1082.09998,940.275024,27.7749996,1.0,,19.7,0.0,27.16,65.3812485,,65.3812485,0.0,120.0,0.0,,
2025-11-05 05:30:22+00:00,2025-11-05 05:30:22,,,,,,,,,,38.7675018,11.6625004,1081.42505,940.200012,27.7749996,1.0,,19.7,0.0,27.16,65.3812485,,65.3812485,0.0,120.0,0.0,,
2025-11-05 05:30:23+00:00,2025-11-05 05:30:23,,,,,,,,,,38.7975006,11.6625004,1080.52502,940.049988,27.7625008,1.0,,19.7,0.0,27.16,65.3812485,,65.3812485,0.0,120.074997,0.0,,
2025-11-05 05:30:24+00:00,2025-11-05 05:30:24,,,,,,,,,,38.7937508,11.6937504,1079.92505,939.974976,27.7625008,1.0,,19.7,0.0,27.16,65.3625031,,65.3625031,0.0,120.0,0.0,,
2025-11-05 05:30:25+00:00,2025-11-05 05:30:25,38.0,38.0,38.0,38.0,38.0,22.384221466298676,100.0,BO_ONLY,"BO 모델 결과만 사용 (1단계 롤백, 2~4단계에서 Hz 변화 없음)",38.7825012,11.7312498,1079.02502,939.825012,27.7625008,1.0,,19.7,0.0,27.82,65.0062485,,65.0062485,0.0,120.0,0.0,,
2025-11-05 05:30:26+00:00,2025-11-05 05:30:26,,,,,,,,,,38.7599983,11.7312498,1078.42505,939.75,27.7625008,1.0,,19.7,0.0,27.82,64.9875031,,64.9875031,0.0,120.074997,0.0,,
2025-11-05 05:30:27+00:00,2025-11-05 05:30:27,,,,,,,,,,38.7787514,11.765625,1077.44995,939.599976,27.7625008,1.0,,19.7,0.0,27.82,65.0062485,,65.0062485,0.0,120.0,0.0,,
2025-11-05 05:30:28+00:00,2025-11-05 05:30:28,,,,,,,,,,38.7599983,11.765625,1076.84998,939.525024,27.7625008,1.0,,19.7,0.0,27.82,64.9875031,,64.9875031,0.0,120.074997,0.0,,
2025-11-05 05:30:29+00:00,2025-11-05 05:30:29,,,,,,,,,,38.7900009,11.8000002,1075.94995,939.375,27.8500004,1.0,,19.7,0.0,27.82,64.9875031,,64.9875031,0.0,120.0,0.0,,
2025-11-05 05:30:30+00:00,2025-11-05 05:30:30,38.0,38.0,38.0,38.0,38.0,22.195596777559928,100.0,BO_ONLY,"BO 모델 결과만 사용 (1단계 롤백, 2~4단계에서 Hz 변화 없음)",38.7712517,11.8343754,1075.34998,939.299988,27.9249992,1.0,,19.7,0.0,27.82,65.0062485,41.4068037572988,65.0062485,0.0,120.074997,0.0,,
2025-11-05 05:30:31+00:00,2025-11-05 05:30:31,,,,,,,,,,38.7675018,11.8343754,1074.44995,939.150024,27.9375,1.0,,19.7,0.0,27.82,65.0062485,,65.0062485,0.0,120.074997,0.0,,
2025-11-05 05:30:32+00:00,2025-11-05 05:30:32,,,,,,,,,,38.7637482,11.8781252,1073.77502,939.075012,27.9375,1.0,,19.7,0.0,27.82,65.2687531,,65.2687531,0.0,120.074997,0.0,,
2025-11-05 05:30:33+00:00,2025-11-05 05:30:33,,,,,,,,,,38.7712517,11.9265623,1072.875,938.849976,27.9375,1.0,,19.7,0.0,27.82,65.3625031,,65.3625031,0.0,120.0,0.0,,
2025-11-05 05:30:34+00:00,2025-11-05 05:30:34,,,,,,,,,,38.7825012,11.9265623,1072.19995,938.775024,28.1749992,1.0,,19.7,0.0,27.82,65.3812485,,65.3812485,0.0,120.074997,0.0,,
2025-11-05 05:30:35+00:00,2025-11-05 05:30:35,38.0,38.0,38.0,38.0,38.0,19.83192098018576,100.0,BO_ONLY,"BO 모델 결과만 사용 (1단계 롤백, 2~4단계에서 Hz 변화 없음)",38.7937508,11.9796877,1071.22498,938.625,28.1875,1.0,,19.7,0.0,27.97,65.3812485,,65.3812485,0.0,120.074997,0.0,,
2025-11-05 05:30:36+00:00,2025-11-05 05:30:36,,,,,,,,,,38.7900009,11.9796877,1070.625,938.549988,28.1875,1.0,,19.7,0.0,27.97,65.3625031,,65.3625031,0.0,120.074997,0.0,,
2025-11-05 05:30:37+00:00,2025-11-05 05:30:37,,,,,,,,,,38.7675018,12.0343752,1069.65002,938.325012,28.1875,1.0,,19.7,0.0,27.97,65.3625031,,65.3625031,0.0,120.0,0.0,,
2025-11-05 05:30:38+00:00,2025-11-05 05:30:38,,,,,,,,,,38.7712517,12.0968752,1068.97498,938.25,28.1875,1.0,,19.7,0.0,27.97,65.3812485,,65.3812485,0.0,120.0,0.0,,
2025-11-05 05:30:39+00:00,2025-11-05 05:30:39,,,,,,,,,,38.7637482,12.0968752,1068.0,938.099976,28.1875,1.0,,19.7,0.0,27.97,65.3812485,,65.3812485,0.0,120.074997,0.0,,
2025-11-05 05:30:40+00:00,2025-11-05 05:30:40,39.0,39.0,39.0,39.0,39.0,21.423148257325813,100.0,BO_ONLY,"BO 모델 결과만 사용 (1단계 롤백, 2~4단계에서 Hz 변화 없음)",38.7825012,12.1593752,1067.40002,937.950012,28.1875,1.0,,19.7,0.0,27.97,65.3812485,,65.3812485,0.0,120.074997,0.0,,
2025-11-05 05:30:41+00:00,2025-11-05 05:30:41,,,,,,,,,,38.7862511,12.2218752,1066.42505,937.799988,28.1875,1.0,,19.7,0.0,27.97,65.3625031,,65.3625031,0.0,120.074997,0.0,,
2025-11-05 05:30:42+00:00,2025-11-05 05:30:42,,,,,,,,,,38.7712517,12.2218752,1065.82495,937.724976,28.1875,1.0,,19.7,0.0,27.97,65.3812485,,65.3812485,0.0,120.0,0.0,,
2025-11-05 05:30:43+00:00,2025-11-05 05:30:43,,,,,,,,,,38.7675018,12.2828121,1064.84998,937.575012,28.1875,1.0,,19.7,0.0,27.97,65.3812485,,65.3812485,0.0,120.074997,0.0,,
2025-11-05 05:30:44+00:00,2025-11-05 05:30:44,,,,,,,,,,38.7787514,12.2828121,1064.17505,937.424988,28.3624992,1.0,,19.7,0.0,27.97,65.3812485,,65.3812485,0.0,120.074997,0.0,,
2025-11-05 05:30:45+00:00,2025-11-05 05:30:45,39.0,39.0,39.0,39.0,39.0,21.886277331934817,100.0,BO_ONLY,"BO 모델 결과만 사용 (1단계 롤백, 2~4단계에서 Hz 변화 없음)",38.7750015,12.34375,1063.19995,937.200012,28.3624992,1.0,,19.7,0.0,28.28,65.3625031,41.4068037572988,65.3625031,0.0,120.0,0.0,,
2025-11-05 05:30:46+00:00,2025-11-05 05:30:46,,,,,,,,,,38.7787514,12.3953123,1062.59998,937.125,28.3500004,1.0,,19.7,0.0,28.28,65.3625031,,65.3625031,0.0,120.074997,0.0,,
2025-11-05 05:30:47+00:00,2025-11-05 05:30:47,,,,,,,,,,38.7712517,12.3953123,1061.625,936.974976,28.3500004,1.0,,19.7,0.0,28.28,65.3812485,,65.3812485,0.0,120.074997,0.0,,
2025-11-05 05:30:48+00:00,2025-11-05 05:30:48,,,,,,,,,,38.7862511,12.4437504,1060.94995,936.825012,28.3624992,1.0,,19.7,0.0,28.28,65.3812485,,65.3812485,0.0,120.0,0.0,,
2025-11-05 05:30:49+00:00,2025-11-05 05:30:49,,,,,,,,,,38.7712517,12.4984379,1059.97498,936.674988,28.5125008,1.0,,19.7,0.0,28.28,65.3625031,,65.3625031,0.0,120.074997,0.0,,
2025-11-05 05:30:50+00:00,2025-11-05 05:30:50,39.0,39.0,39.0,39.0,39.0,21.28708878707416,100.0,BO_ONLY,"BO 모델 결과만 사용 (1단계 롤백, 2~4단계에서 Hz 변화 없음)",38.7862511,12.4984379,1059.375,936.525024,28.6875,1.0,,19.7,0.0,28.28,65.3812485,,65.3812485,0.0,120.0,0.0,,
2025-11-05 05:30:51+00:00,2025-11-05 05:30:51,,,,,,,,,,38.7825012,12.5515623,1058.32495,936.375,28.7000008,1.0,,19.7,0.0,28.28,65.3812485,,65.3812485,0.0,120.074997,0.0,,
2025-11-05 05:30:52+00:00,2025-11-05 05:30:52,,,,,,,,,,38.7637482,12.5515623,1057.72498,936.299988,28.7000008,1.0,,19.7,0.0,28.28,65.3812485,,65.3812485,0.0,120.0,0.0,,
2025-11-05 05:30:53+00:00,2025-11-05 05:30:53,,,,,,,,,,38.7825012,12.6078129,1056.82495,936.075012,28.6875,1.0,,19.7,0.0,28.28,65.3625031,,65.3625031,0.0,120.074997,0.0,,
2025-11-05 05:30:54+00:00,2025-11-05 05:30:54,,,,,,,,,,38.7787514,12.6640625,1056.15002,935.924988,28.2875004,1.0,,19.7,0.0,28.28,65.3812485,,65.3812485,0.0,120.0,0.0,,
2025-11-05 05:30:55+00:00,2025-11-05 05:30:55,39.0,39.0,39.0,39.0,39.0,22.085100185277398,100.0,BO_ONLY,"BO 모델 결과만 사용 (1단계 롤백, 2~4단계에서 Hz 변화 없음)",38.7675018,12.6640625,1055.32495,935.775024,28.2749996,1.0,,19.7,0.0,28.76,65.3812485,,65.3812485,0.0,120.074997,0.0,,
2025-11-05 05:30:56+00:00,2025-11-05 05:30:56,,,,,,,,,,38.7675018,12.7234373,1054.72498,935.625,28.2749996,1.0,,19.7,0.0,28.76,65.3812485,,65.3812485,0.0,120.074997,0.0,,
2025-11-05 05:30:57+00:00,2025-11-05 05:30:57,,,,,,,,,,38.7900009,12.78125,1053.90002,935.474976,28.2749996,1.0,,19.7,0.0,28.76,65.3625031,,65.3625031,0.0,120.074997,0.0,,
2025-11-05 05:30:58+00:00,2025-11-05 05:30:58,,,,,,,,,,38.7937508,12.78125,1053.375,935.325012,28.2749996,1.0,,19.7,0.0,28.76,65.3812485,,65.3812485,0.0,120.0,0.0,,
2025-11-05 05:30:59+00:00,2025-11-05 05:30:59,,,,,,,,,,38.7825012,12.84375,1052.625,935.099976,28.1124992,1.0,,19.7,0.0,28.76,65.3812485,,65.3812485,0.0,120.074997,0.0,,
