time,_time_gateway,ACT_SNR_PMP_BO_0,ACT_SNR_PMP_BO_1,ACT_SNR_PMP_BO_2,ACT_SNR_PMP_BO_3,ACT_SNR_PMP_BO_4,SNR_NOX_PRED,SNR_STATUS_CODE,SNR_STAGE,SNR_MESSAGE,SNR_PMP_UW_S_1,BR1_EO_O2_A,ICF_CCS_FG_T_1,ICF_SCS_FG_T_1,ICF_TMS_NOX_A,ACC_SNR_AI_1A,ACT_STATUS,NOX_30m_Value,NOX_EQ_Status,NOX_Value,SNR_EQ_UW_F_1,ACT_SNR_PMP_UW_S
2025-09-17 18:54:05+00:00,2025-09-17 18:54:05,44.67499925,39.0,39.0,38.0,54.0,32.84442891991939,401,BO_O2_RULE_NOX,"NOx 예측 규칙 적용: 32.8ppm (NOX_PRED_HIGH, TEMP_IN_OK, TEMP_OUT_OK)",39.6824989,11.8609371,1054.34998,942.450012,31.5125008,1.0,,21.31,0.0,31.5,29.1656246,
2025-09-17 18:54:06+00:00,2025-09-17 18:54:06,,,,,,,,,,39.6674995,11.9234371,1054.27502,942.450012,31.5249996,1.0,,21.31,0.0,31.5,29.1749992,
2025-09-17 18:54:07+00:00,2025-09-17 18:54:07,,,,,,,,,,39.6787491,11.9234371,1053.97498,942.525024,32.0125008,1.0,,21.31,0.0,31.5,29.1749992,
2025-09-17 18:54:08+00:00,2025-09-17 18:54:08,,,,,,,,,,39.2962494,11.9890623,1053.82495,942.599976,32.0125008,1.0,,21.31,0.0,32.01,29.1749992,52.0
2025-09-17 18:54:09+00:00,2025-09-17 18:54:09,,,,,,,,,,38.6100006,12.0484371,1053.59998,942.599976,32.0125008,1.0,,21.31,0.0,32.01,29.1656246,
2025-09-17 18:54:10+00:00,2025-09-17 18:54:10,44.6731243,39.0,39.0,38.0,54.0,32.654346961577154,401,BO_O2_RULE_NOX,"NOx 예측 규칙 적용: 32.7ppm (NOX_PRED_HIGH, TEMP_IN_OK, TEMP_OUT_OK)",38.5837517,12.0484371,1053.44995,942.674988,32.0125008,1.0,,21.31,0.0,32.01,29.1749992,
2025-09-17 18:54:11+00:00,2025-09-17 18:54:11,,,,,,,,,,38.5724983,12.1031246,1053.22498,942.75,32.2999992,1.0,,21.31,0.0,32.01,29.1656246,
2025-09-17 18:54:12+00:00,2025-09-17 18:54:12,,,,,,,,,,38.5912514,12.1031246,1053.0,942.825012,32.5250015,1.0,,21.31,0.0,32.01,28.9593754,
2025-09-17 18:54:13+00:00,2025-09-17 18:54:13,,,,,,,,,,38.5837517,12.1515627,1052.77502,942.825012,32.5125008,1.0,,21.31,0.0,32.01,28.3968754,
2025-09-17 18:54:14+00:00,2025-09-17 18:54:14,,,,,,,,,,38.5837517,12.1859379,1052.625,942.900024,32.5250015,1.0,,21.31,0.0,32.01,28.078125,
2025-09-17 18:54:15+00:00,2025-09-17 18:54:15,43.58187485,39.0,38.0,38.0,54.0,30.920847310049385,401,BO_O2_RULE_NOX,"NOx 예측 규칙 적용: 30.9ppm (NOX_PRED_HIGH, TEMP_IN_OK, TEMP_OUT_OK)",38.5837517,12.1859379,1052.40002,942.974976,32.5250015,1.0,0.0,21.31,0.0,32.01,27.6749992,
2025-09-17 18:54:16+00:00,2025-09-17 18:54:16,,,,,,,,,,38.5875015,12.2250004,1052.17505,942.974976,32.5625,1.0,,21.31,0.0,32.01,27.6656246,
2025-09-17 18:54:17+00:00,2025-09-17 18:54:17,,,,,,,,,,38.5950012,12.2531252,1051.94995,943.049988,33.4500008,1.0,,21.31,0.0,32.01,27.65625,
2025-09-17 18:54:18+00:00,2025-09-17 18:54:18,,,,,,,,,,38.5800018,12.2531252,1051.80005,943.125,33.4500008,1.0,,21.31,0.0,33.45,27.5906258,
2025-09-17 18:54:19+00:00,2025-09-17 18:54:19,,,,,,,,,,38.5837517,12.2765627,1051.5,943.125,33.4500008,1.0,,21.31,0.0,33.45,27.4781246,
2025-09-17 18:54:20+00:00,2025-09-17 18:54:20,43.59125135,39.0,38.0,38.0,54.0,31.329370949072405,401,BO_O2_RULE_NOX,"NOx 예측 규칙 적용: 31.3ppm (NOX_PRED_HIGH, TEMP_IN_OK, TEMP_OUT_OK)",38.5912514,12.2765627,1051.27502,943.125,33.4500008,1.0,,21.31,0.0,33.45,27.4781246,
2025-09-17 18:54:21+00:00,2025-09-17 18:54:21,,,,,,,,,,38.5875015,12.3046875,1050.97498,943.200012,33.4500008,1.0,,21.31,0.0,33.45,27.4781246,
2025-09-17 18:54:22+00:00,2025-09-17 18:54:22,,,,,,,,,,38.5837517,12.3234377,1050.67505,943.275024,33.9500008,1.0,,21.31,0.0,33.45,27.4781246,
2025-09-17 18:54:23+00:00,2025-09-17 18:54:23,,,,,,,,,,38.5987511,12.3234377,1050.52502,943.275024,33.9500008,1.0,,21.31,0.0,33.45,27.4781246,
2025-09-17 18:54:24+00:00,2025-09-17 18:54:24,,,,,,,,,,38.5912514,12.34375,1050.30005,943.349976,33.9500008,1.0,,21.31,0.0,33.45,27.4781246,
2025-09-17 18:54:25+00:00,2025-09-17 18:54:25,43.5856266,39.0,38.0,38.0,54.0,30.813991667553562,401,BO_O2_RULE_NOX,"NOx 예측 규칙 적용: 30.8ppm (NOX_PRED_HIGH, TEMP_IN_OK, TEMP_OUT_OK)",38.5800018,12.3703127,1050.0,943.349976,33.9500008,1.0,,21.31,0.0,33.45,27.4781246,
2025-09-17 18:54:26+00:00,2025-09-17 18:54:26,,,,,,,,,,38.5762482,12.3703127,1049.77502,943.424988,33.9874992,1.0,,21.31,0.0,33.45,27.4781246,
2025-09-17 18:54:27+00:00,2025-09-17 18:54:27,,,,,,,,,,38.5837517,12.3999996,1049.47498,943.424988,34.375,1.0,,21.31,0.0,33.45,27.4781246,
2025-09-17 18:54:28+00:00,2025-09-17 18:54:28,,,,,,,,,,38.5800018,12.3999996,1049.32495,943.424988,34.375,1.0,,21.31,0.0,34.36,27.4781246,
2025-09-17 18:54:29+00:00,2025-09-17 18:54:29,,,,,,,,,,38.5875015,12.4312496,1048.94995,943.5,34.375,1.0,,21.31,0.0,34.36,27.4781246,
2025-09-17 18:54:30+00:00,2025-09-17 18:54:30,43.57999995,39.0,38.0,38.0,54.0,31.35437041770704,401,BO_O2_RULE_NOX,"NOx 예측 규칙 적용: 31.4ppm (NOX_PRED_HIGH, TEMP_IN_OK, TEMP_OUT_OK)",38.5950012,12.4640627,1048.72498,943.5,34.375,1.0,0.0,21.31,0.0,34.36,27.4781246,53.0
2025-09-17 18:54:31+00:00,2025-09-17 18:54:31,,,,,,,,,,38.5800018,12.4640627,1048.42505,943.575012,34.375,1.0,,21.31,0.0,34.36,27.4781246,
2025-09-17 18:54:32+00:00,2025-09-17 18:54:32,,,,,,,,,,38.5762482,12.5031252,1048.19995,943.575012,34.375,1.0,,21.31,0.0,34.36,27.4781246,
