time,_time_gateway,ACT_SNR_PMP_BO_0,ACT_SNR_PMP_BO_1,ACT_SNR_PMP_BO_2,ACT_SNR_PMP_BO_3,ACT_SNR_PMP_BO_4,SNR_NOX_PRED,SNR_STATUS_CODE,SNR_STAGE,SNR_MESSAGE,SNR_PMP_UW_S_1,BR1_EO_O2_A,ICF_CCS_FG_T_1,ICF_SCS_FG_T_1,ICF_TMS_NOX_A,ACC_SNR_AI_1A,ACT_STATUS,NOX_30m_Value,NOX_EQ_Status,NOX_Value,SNR_EQ_UW_F_1,ACT_SNR_PMP_UW_S,SNR_EQ_UW_F_1_1,SNR_EQ_DW_F_1,SNR_EQ_UW_F_2,IncineratorStatus,SNR_UREA_SAVING_RATE,SNR_NOX_PRED_MAE
2025-11-05 23:00:59+00:00,2025-11-05 23:00:59,,,,,,,,,,38.8274994,13.7359371,982.724976,853.5,6.73750019,1.0,,10.64,0.0,9.45,52.6500015,,52.6500015,0.0,532.275024,0.0,,
2025-11-05 23:01:00+00:00,2025-11-05 23:01:00,,,,,,,,,,38.8237495,13.7359371,982.125,853.349976,6.7249999,1.0,,10.64,0.0,9.45,52.6500015,,52.6500015,0.0,532.275024,0.0,,
2025-11-05 23:01:01+00:00,2025-11-05 23:01:01,,,,,,,,,,38.8387489,13.7156248,981.674988,853.200012,6.73750019,1.0,,10.64,0.0,9.45,52.6312485,,52.6312485,0.0,532.275024,0.0,,
2025-11-05 23:01:02+00:00,2025-11-05 23:01:02,,,,,,,,,,38.8050003,13.6968746,981.075012,853.049988,6.73750019,1.0,,10.64,0.0,9.45,52.6500015,,52.6500015,0.0,532.200012,0.0,,
2025-11-05 23:01:03+00:00,2025-11-05 23:01:03,,,,,,,,,,38.8125,13.6968746,980.625,852.900024,6.73750019,1.0,,10.64,0.0,9.45,52.6500015,,52.6500015,0.0,532.275024,0.0,,
2025-11-05 23:01:04+00:00,2025-11-05 23:01:04,,,,,,,,,,38.8237495,13.6812496,980.025024,852.75,6.7249999,1.0,,10.64,0.0,9.45,52.7249985,,52.7249985,0.0,532.275024,0.0,,
2025-11-05 23:01:05+00:00,2025-11-05 23:01:05,,,,,,,,,,38.8087502,13.6812496,979.575012,852.599976,6.73750019,1.0,,10.64,0.0,9.45,53.0250015,,53.0250015,0.0,532.200012,0.0,,
2025-11-05 23:01:06+00:00,2025-11-05 23:01:06,,,,,,,,,,38.8012505,13.6671877,978.900024,852.450012,6.73750019,1.0,,10.64,0.0,9.45,53.0250015,,53.0250015,0.0,532.275024,0.0,,
2025-11-05 23:01:07+00:00,2025-11-05 23:01:07,,,,,,,,,,38.7975006,13.6374998,978.450012,852.375,6.7249999,1.0,,10.64,0.0,9.45,53.0250015,,53.0250015,0.0,532.200012,0.0,,
2025-11-05 23:01:08+00:00,2025-11-05 23:01:08,,,,,,,,,,38.8050003,13.6374998,977.775024,852.150024,6.73750019,1.0,,10.64,0.0,9.45,52.9874992,,52.9874992,0.0,532.275024,0.0,,
2025-11-05 23:01:09+00:00,2025-11-05 23:01:09,,,,,,,,,,38.8125,13.6125002,977.400024,852.075012,6.73750019,1.0,,10.64,0.0,9.45,52.6500015,,52.6500015,0.0,532.275024,0.0,,
2025-11-05 23:01:10+00:00,2025-11-05 23:01:10,,,,,,,,,,38.8125,13.5984373,976.724976,851.849976,6.7249999,1.0,,10.64,0.0,9.45,52.6500015,,52.6500015,0.0,532.275024,0.0,,
2025-11-05 23:01:11+00:00,2025-11-05 23:01:11,,,,,,,,,,38.8012505,13.5984373,976.275024,851.775024,6.73750019,1.0,,10.64,0.0,9.45,52.6500015,,52.6500015,0.0,532.275024,0.0,,
2025-11-05 23:01:12+00:00,2025-11-05 23:01:12,,,,,,,,,,38.7937508,13.5890627,975.599976,851.625,6.73750019,1.0,,10.64,0.0,9.45,52.6500015,,52.6500015,0.0,533.849976,0.0,,
2025-11-05 23:01:13+00:00,2025-11-05 23:01:13,,,,,,,,,,38.8050003,13.5890627,975.224976,851.474976,6.73750019,1.0,,10.64,0.0,9.45,52.6875,,52.6875,0.0,534.0,0.0,,
2025-11-05 23:01:14+00:00,2025-11-05 23:01:14,,,,,,,,,,38.8050003,13.59375,974.474976,851.325012,6.73750019,1.0,,10.64,0.0,9.45,53.0250015,,53.0250015,0.0,534.0,0.0,,
2025-11-05 23:01:15+00:00,2025-11-05 23:01:15,,,,,,,,,,38.8012505,13.6031246,974.099976,851.174988,6.73750019,1.0,,10.64,0.0,9.45,53.0250015,,53.0250015,0.0,534.0,0.0,,
2025-11-05 23:01:16+00:00,2025-11-05 23:01:16,,,,,,,,,,38.8012505,13.6031246,973.424988,851.025024,6.73750019,1.0,,10.64,0.0,9.45,53.0062485,,53.0062485,0.0,534.0,0.0,,
2025-11-05 23:01:17+00:00,2025-11-05 23:01:17,,,,,,,,,,38.8274994,13.6171875,972.974976,850.950012,6.73750019,1.0,,10.64,0.0,9.45,52.6500015,,52.6500015,0.0,533.924988,0.0,,
2025-11-05 23:01:18+00:00,2025-11-05 23:01:18,,,,,,,,,,38.8050003,13.6359377,972.299988,850.650024,6.73750019,1.0,,10.64,0.0,9.45,52.6500015,,52.6500015,0.0,533.924988,0.0,,
2025-11-05 23:01:19+00:00,2025-11-05 23:01:19,,,,,,,,,,38.8274994,13.6359377,971.924988,850.575012,6.73750019,1.0,,10.64,0.0,9.45,52.6500015,,52.6500015,0.0,534.0,0.0,,
2025-11-05 23:01:20+00:00,2025-11-05 23:01:20,,,,,,,,,,38.8050003,13.6578121,971.174988,850.424988,6.73750019,1.0,,10.64,0.0,9.45,53.0062485,,53.0062485,0.0,534.0,0.0,,
2025-11-05 23:01:21+00:00,2025-11-05 23:01:21,,,,,,,,,,38.8162498,13.6796875,970.650024,850.275024,6.73750019,1.0,,10.64,0.0,9.45,52.6500015,,52.6500015,0.0,534.0,0.0,,
2025-11-05 23:01:22+00:00,2025-11-05 23:01:22,,,,,,,,,,38.8012505,13.6796875,970.049988,850.125,6.73750019,1.0,,10.64,0.0,9.45,52.6500015,,52.6500015,0.0,534.0,0.0,,
2025-11-05 23:01:23+00:00,2025-11-05 23:01:23,,,,,,,,,,38.8087502,13.7015629,969.525024,849.974976,6.7249999,1.0,,10.64,0.0,9.45,52.6500015,,52.6500015,0.0,534.0,0.0,,
2025-11-05 23:01:24+00:00,2025-11-05 23:01:24,,,,,,,,,,38.8087502,13.7015629,968.849976,849.825012,6.7249999,1.0,,10.64,0.0,9.45,52.6500015,,52.6500015,0.0,533.924988,0.0,,
2025-11-05 23:01:25+00:00,2025-11-05 23:01:25,,,,,,,,,,38.7975006,13.7390623,968.174988,849.599976,6.73750019,1.0,,10.64,0.0,9.45,52.875,,52.875,0.0,534.0,0.0,,
2025-11-05 23:01:26+00:00,2025-11-05 23:01:26,,,,,,,,,,38.8125,13.7828121,967.724976,849.525024,6.7249999,1.0,,10.64,0.0,9.45,53.0250015,,53.0250015,0.0,534.0,0.0,,
2025-11-05 23:01:27+00:00,2025-11-05 23:01:27,,,,,,,,,,38.8012505,13.7828121,967.275024,849.375,6.73750019,1.0,,10.64,0.0,9.45,53.0250015,,53.0250015,0.0,532.275024,0.0,,
