time,_time_gateway,ACT_SNR_PMP_BO_0,ACT_SNR_PMP_BO_1,ACT_SNR_PMP_BO_2,ACT_SNR_PMP_BO_3,ACT_SNR_PMP_BO_4,SNR_NOX_PRED,SNR_STATUS_CODE,SNR_STAGE,SNR_MESSAGE,SNR_PMP_UW_S_1,BR1_EO_O2_A,ICF_CCS_FG_T_1,ICF_SCS_FG_T_1,ICF_TMS_NOX_A,ACC_SNR_AI_1A,ACT_STATUS,NOX_30m_Value,NOX_EQ_Status,NOX_Value,SNR_EQ_UW_F_1,ACT_SNR_PMP_UW_S
2025-09-19 05:04:10+00:00,2025-09-19 05:04:10,54.0,38.0,38.0,54.0,54.0,42.49831816658096,303.0,BO_O2_RULE,제어매트릭스 규칙 적용: NOX_HIGH,55.4625015,12.203125,1089.44995,1005.22498,46.5125008,1.0,,30.68,0.0,46.49,56.0531235,
2025-09-19 05:04:11+00:00,2025-09-19 05:04:11,,,,,,,,,,55.4287491,12.2671871,1089.22498,1005.22498,46.5,1.0,,30.68,0.0,46.49,56.0437508,
2025-09-19 05:04:12+00:00,2025-09-19 05:04:12,,,,,,,,,,55.4212494,12.2671871,1089.0,1005.15002,46.5,1.0,,30.68,0.0,46.49,56.0437508,
2025-09-19 05:04:13+00:00,2025-09-19 05:04:13,,,,,,,,,,55.4287491,12.3359375,1088.69995,1005.07501,46.5125008,1.0,,30.68,0.0,46.49,56.0437508,
2025-09-19 05:04:14+00:00,2025-09-19 05:04:14,,,,,,,,,,55.4587517,12.4031248,1088.55005,1005.07501,46.5125008,1.0,,30.68,0.0,46.49,56.0437508,
2025-09-19 05:04:15+00:00,2025-09-19 05:04:15,54.0,38.0,38.0,54.0,54.0,42.4273279297272,303.0,BO_O2_RULE,제어매트릭스 규칙 적용: NOX_HIGH,55.4249992,12.4031248,1088.25,1005.0,46.5,1.0,0.0,30.68,0.0,46.49,56.0437508,
2025-09-19 05:04:16+00:00,2025-09-19 05:04:16,,,,,,,,,,55.4362488,12.46875,1088.09998,1004.92499,46.5,1.0,,30.68,0.0,46.49,56.0437508,
2025-09-19 05:04:17+00:00,2025-09-19 05:04:17,,,,,,,,,,55.4550018,12.5249996,1087.80005,1004.84998,46.5125008,1.0,,30.68,0.0,46.49,56.0437508,
2025-09-19 05:04:18+00:00,2025-09-19 05:04:18,,,,,,,,,,55.4249992,12.5249996,1087.57495,1004.84998,46.1624985,1.0,,30.68,0.0,46.49,56.0531235,
2025-09-19 05:04:19+00:00,2025-09-19 05:04:19,,,,,,,,,,55.4249992,12.5765629,1087.27502,1004.77502,46.1624985,1.0,,30.68,0.0,46.49,56.0437508,
