time,_time_gateway,ACT_SNR_PMP_BO_0,ACT_SNR_PMP_BO_1,ACT_SNR_PMP_BO_2,ACT_SNR_PMP_BO_3,ACT_SNR_PMP_BO_4,SNR_NOX_PRED,SNR_STATUS_CODE,SNR_STAGE,SNR_MESSAGE,SNR_PMP_UW_S_1,BR1_EO_O2_A,ICF_CCS_FG_T_1,ICF_SCS_FG_T_1,ICF_TMS_NOX_A,ACC_SNR_AI_1A,ACT_STATUS,NOX_30m_Value,NOX_EQ_Status,NOX_Value,SNR_EQ_UW_F_1,ACT_SNR_PMP_UW_S,SNR_EQ_UW_F_1_1,SNR_EQ_DW_F_1,SNR_EQ_UW_F_2,IncineratorStatus,SNR_UREA_SAVING_RATE,SNR_NOX_PRED_MAE
2025-11-05 23:59:11+00:00,2025-11-05 23:59:11,,,,,,,,,,55.6912498,4.0015626,1063.65002,806.174988,26.7000008,1.0,,9.32,0.0,28.81,103.106247,,103.106247,0.0,359.924988,0.0,,
2025-11-05 23:59:12+00:00,2025-11-05 23:59:12,,,,,,,,,,55.6987495,4.0015626,1065.07495,806.325012,26.7000008,1.0,,9.32,0.0,28.81,103.087502,,103.087502,0.0,359.924988,0.0,,
2025-11-05 23:59:13+00:00,2025-11-05 23:59:13,,,,,,,,,,55.6762505,4.03593731,1066.05005,806.474976,26.6875,1.0,,9.32,0.0,28.81,103.087502,,103.087502,0.0,359.924988,0.0,,
2025-11-05 23:59:14+00:00,2025-11-05 23:59:14,,,,,,,,,,55.7024994,4.03593731,1067.55005,806.549988,26.6875,1.0,,9.32,0.0,28.81,103.106247,,103.106247,0.0,359.924988,0.0,,
2025-11-05 23:59:15+00:00,2025-11-05 23:59:15,52.0,52.0,52.0,52.0,52.0,15.150045405329822,100.0,BO_ONLY,"BO 모델 결과만 사용 (1단계 롤백, 2~4단계에서 Hz 변화 없음)",55.7062492,4.0640626,1068.52502,806.700012,25.7749996,1.0,,9.32,0.0,26.8,103.237503,38.0,103.237503,0.0,359.924988,0.0,,
2025-11-05 23:59:16+00:00,2025-11-05 23:59:16,,,,,,,,,,55.6949997,4.08906269,1069.94995,806.849976,25.7625008,1.0,,9.32,0.0,26.8,103.462502,,103.462502,0.0,359.924988,0.0,,
2025-11-05 23:59:17+00:00,2025-11-05 23:59:17,,,,,,,,,,55.6875,4.08906269,1070.84998,806.924988,25.7749996,1.0,,9.32,0.0,26.8,103.631248,,103.631248,0.0,359.924988,0.0,,
2025-11-05 23:59:18+00:00,2025-11-05 23:59:18,,,,,,,,,,53.6812515,4.10468769,1072.27502,807.150024,25.7749996,1.0,,9.32,0.0,26.8,103.837502,,103.837502,0.0,359.924988,0.0,,
2025-11-05 23:59:19+00:00,2025-11-05 23:59:19,,,,,,,,,,53.6212502,4.11406231,1073.25,807.224976,25.7749996,1.0,,9.32,0.0,26.8,103.5,,103.5,0.0,361.424988,0.0,,
2025-11-05 23:59:20+00:00,2025-11-05 23:59:20,53.0,53.0,53.0,53.0,53.0,14.18153709391489,100.0,BO_ONLY,"BO 모델 결과만 사용 (1단계 롤백, 2~4단계에서 Hz 변화 없음)",53.6062508,4.11406231,1074.52502,807.375,25.1875,1.0,,9.32,0.0,26.8,103.087502,,103.087502,0.0,361.424988,0.0,,
2025-11-05 23:59:21+00:00,2025-11-05 23:59:21,,,,,,,,,,53.6175003,4.125,1075.5,807.525024,25.1875,1.0,,9.32,0.0,26.8,101.568748,,101.568748,0.0,362.850006,0.0,,
2025-11-05 23:59:22+00:00,2025-11-05 23:59:22,,,,,,,,,,53.6962509,4.1265626,1076.84998,807.674988,25.1875,1.0,,9.32,0.0,26.8,100.125,,100.125,0.0,362.850006,0.0,,
2025-11-05 23:59:23+00:00,2025-11-05 23:59:23,,,,,,,,,,54.6300011,4.1265626,1077.75,807.825012,25.1875,1.0,,9.32,0.0,26.8,98.90625,,98.90625,0.0,362.850006,0.0,,
2025-11-05 23:59:24+00:00,2025-11-05 23:59:24,,,,,,,,,,54.6637497,4.125,1079.17505,808.049988,25.1875,1.0,,9.32,0.0,26.8,98.5687485,,98.5687485,0.0,362.549988,0.0,,
2025-11-05 23:59:25+00:00,2025-11-05 23:59:25,53.0,53.0,53.0,53.0,53.0,14.138797199950702,100.0,BO_ONLY,"BO 모델 결과만 사용 (1단계 롤백, 2~4단계에서 Hz 변화 없음)",54.6712494,4.125,1080.0,808.125,24.3250008,1.0,,9.32,0.0,25.27,98.2874985,,98.2874985,0.0,361.424988,0.0,,
2025-11-05 23:59:26+00:00,2025-11-05 23:59:26,,,,,,,,,,54.6712494,4.12187481,1081.34998,808.349976,24.3250008,1.0,,9.32,0.0,25.27,98.625,,98.625,0.0,360.524994,0.0,,
2025-11-05 23:59:27+00:00,2025-11-05 23:59:27,,,,,,,,,,54.6712494,4.1109376,1082.32495,808.5,24.3250008,1.0,,9.32,0.0,25.27,98.9812469,,98.9812469,0.0,359.924988,0.0,,
2025-11-05 23:59:28+00:00,2025-11-05 23:59:28,,,,,,,,,,54.6674995,4.1109376,1083.67505,808.724976,24.3250008,1.0,,9.32,0.0,25.27,99.6187515,,99.6187515,0.0,359.924988,0.0,,
2025-11-05 23:59:29+00:00,2025-11-05 23:59:29,,,,,,,,,,54.6712494,4.08906269,1084.57495,808.799988,24.3250008,1.0,,9.32,0.0,25.27,100.03125,,100.03125,0.0,359.924988,0.0,,
2025-11-05 23:59:30+00:00,2025-11-05 23:59:30,53.0,53.0,53.0,53.0,53.0,13.928555331587605,100.0,BO_ONLY,"BO 모델 결과만 사용 (1단계 롤백, 2~4단계에서 Hz 변화 없음)",54.6712494,4.08906269,1085.92505,809.025024,24.0,1.0,,9.32,0.0,25.27,100.087502,38.0,100.087502,0.0,359.924988,0.0,,
2025-11-05 23:59:31+00:00,2025-11-05 23:59:31,,,,,,,,,,54.6749992,4.0625,1086.90002,809.174988,23.9874992,1.0,,9.32,0.0,25.27,100.068748,,100.068748,0.0,359.924988,0.0,,
2025-11-05 23:59:32+00:00,2025-11-05 23:59:32,,,,,,,,,,54.6712494,4.0374999,1088.32495,809.400024,23.9874992,1.0,,9.32,0.0,25.27,100.068748,,100.068748,0.0,359.924988,0.0,,
