time,_time_gateway,ACT_SNR_PMP_BO_0,ACT_SNR_PMP_BO_1,ACT_SNR_PMP_BO_2,ACT_SNR_PMP_BO_3,ACT_SNR_PMP_BO_4,SNR_NOX_PRED,SNR_STATUS_CODE,SNR_STAGE,SNR_MESSAGE,SNR_PMP_UW_S_1,BR1_EO_O2_A,ICF_CCS_FG_T_1,ICF_SCS_FG_T_1,ICF_TMS_NOX_A,ACC_SNR_AI_1A,ACT_STATUS,NOX_30m_Value,NOX_EQ_Status,NOX_Value,SNR_EQ_UW_F_1,ACT_SNR_PMP_UW_S
2025-09-17 13:43:26+00:00,2025-09-17 13:43:26,,,,,,,,,,53.2762489,13.9765625,1074.67505,1009.125,23.2374992,1.0,,14.2,0.0,23.89,52.2937508,
2025-09-17 13:43:27+00:00,2025-09-17 13:43:27,,,,,,,,,,53.2949982,14.0093746,1074.0,1008.90002,22.0499992,1.0,,14.2,0.0,23.89,52.3031235,
2025-09-17 13:43:28+00:00,2025-09-17 13:43:28,,,,,,,,,,53.2837486,14.0437498,1073.40002,1008.67499,22.0625,1.0,,14.2,0.0,23.89,52.3031235,
2025-09-17 13:43:29+00:00,2025-09-17 13:43:29,,,,,,,,,,53.2837486,14.0437498,1072.94995,1008.59998,22.0499992,1.0,,14.2,0.0,22.12,52.3031235,55.0
2025-09-17 13:43:30+00:00,2025-09-17 13:43:30,48.28499856666667,54.0,38.0,38.0,38.0,12.49035122530429,210,BO_O2,O2 규칙 적용: 14.0% (>12.0%),53.2837486,14.0843754,1072.5,1008.45001,22.0499992,1.0,0.0,14.2,0.0,22.12,52.3031235,
2025-09-17 13:43:31+00:00,2025-09-17 13:43:31,,,,,,,,,,53.2837486,14.0843754,1071.90002,1008.15002,22.0625,1.0,,14.2,0.0,22.12,52.3031235,
2025-09-17 13:43:32+00:00,2025-09-17 13:43:32,,,,,,,,,,53.2837486,14.1203127,1071.30005,1008.0,22.3125,1.0,,14.2,0.0,22.12,52.3031235,
2025-09-17 13:43:33+00:00,2025-09-17 13:43:33,,,,,,,,,,53.2837486,14.1531248,1070.92505,1007.84998,22.3125,1.0,,14.2,0.0,22.12,52.3031235,
2025-09-17 13:43:34+00:00,2025-09-17 13:43:34,,,,,,,,,,53.2762489,14.1531248,1070.55005,1007.70001,22.3125,1.0,,14.2,0.0,22.12,52.3031235,
2025-09-17 13:43:35+00:00,2025-09-17 13:43:35,48.2837486,54.0,38.0,38.0,38.0,10.935302614542472,210,BO_O2,O2 규칙 적용: 14.1% (>12.0%),53.2837486,14.1828127,1069.94995,1007.47498,22.3125,1.0,,14.2,0.0,22.12,52.3031235,
2025-09-17 13:43:36+00:00,2025-09-17 13:43:36,,,,,,,,,,53.2799988,14.2156248,1069.57495,1007.32501,22.3125,1.0,,14.2,0.0,22.12,52.3031235,
2025-09-17 13:43:37+00:00,2025-09-17 13:43:37,,,,,,,,,,53.2912483,14.2156248,1068.97498,1007.09998,21.0375004,1.0,,14.2,0.0,22.12,52.3031235,
2025-09-17 13:43:38+00:00,2025-09-17 13:43:38,,,,,,,,,,53.2874985,14.2406254,1068.59998,1006.95001,21.0375004,1.0,,14.2,0.0,22.12,52.3031235,
2025-09-17 13:43:39+00:00,2025-09-17 13:43:39,,,,,,,,,,53.2837486,14.2406254,1068.07495,1006.72498,21.0375004,1.0,,14.2,0.0,21.06,52.3031235,
2025-09-17 13:43:40+00:00,2025-09-17 13:43:40,48.28624853333333,54.0,38.0,38.0,38.0,10.638212614152604,210,BO_O2,O2 규칙 적용: 14.2% (>12.0%),53.2762489,14.2562504,1067.69995,1006.57501,21.0375004,1.0,,14.2,0.0,21.06,52.3031235,
2025-09-17 13:43:41+00:00,2025-09-17 13:43:41,,,,,,,,,,53.2912483,14.2593746,1067.25,1006.34998,21.0375004,1.0,,14.2,0.0,21.06,52.3031235,55.0
2025-09-17 13:43:42+00:00,2025-09-17 13:43:42,,,,,,,,,,53.2949982,14.2593746,1066.72498,1006.125,20.2000008,1.0,,14.2,0.0,21.06,52.3031235,
2025-09-17 13:43:43+00:00,2025-09-17 13:43:43,,,,,,,,,,53.2799988,14.2468748,1066.42505,1005.97498,20.2000008,1.0,,14.2,0.0,21.06,52.3031235,
2025-09-17 13:43:44+00:00,2025-09-17 13:43:44,,,,,,,,,,53.2949982,14.2265625,1066.05005,1005.82501,20.2000008,1.0,,14.2,0.0,21.06,52.3031235,
2025-09-17 13:43:45+00:00,2025-09-17 13:43:45,48.28874843333333,54.0,38.0,38.0,38.0,10.753605219953966,210,BO_O2,O2 규칙 적용: 14.3% (>12.0%),53.2874985,14.2265625,1065.59998,1005.59998,20.2000008,1.0,0.0,14.2,0.0,21.06,52.3031235,
2025-09-17 13:43:46+00:00,2025-09-17 13:43:46,,,,,,,,,,53.2874985,14.1890621,1065.15002,1005.375,20.2000008,1.0,,14.2,0.0,21.06,52.3031235,
2025-09-17 13:43:47+00:00,2025-09-17 13:43:47,,,,,,,,,,53.2874985,14.1890621,1064.84998,1005.22498,18.6000004,1.0,,14.2,0.0,21.06,52.3031235,
2025-09-17 13:43:48+00:00,2025-09-17 13:43:48,,,,,,,,,,53.2912483,14.1453123,1064.40002,1005.0,18.6000004,1.0,,14.2,0.0,21.06,52.3031235,
2025-09-17 13:43:49+00:00,2025-09-17 13:43:49,,,,,,,,,,53.2837486,14.0812502,1064.09998,1004.84998,18.6000004,1.0,,14.2,0.0,18.62,52.3031235,
2025-09-17 13:43:50+00:00,2025-09-17 13:43:50,48.28874843333333,54.0,38.0,38.0,38.0,8.351101733162151,210,BO_O2,O2 규칙 적용: 14.2% (>12.0%),53.2912483,14.0812502,1063.80005,1004.70001,18.6000004,1.0,,14.2,0.0,18.62,52.2937508,
2025-09-17 13:43:51+00:00,2025-09-17 13:43:51,,,,,,,,,,53.2799988,14.0046873,1063.42505,1004.40002,18.6000004,1.0,,14.2,0.0,18.62,52.2937508,
2025-09-17 13:43:52+00:00,2025-09-17 13:43:52,,,,,,,,,,53.2799988,13.9265623,1063.125,1004.32501,17.5125008,1.0,,14.2,0.0,18.62,52.3031235,
2025-09-17 13:43:53+00:00,2025-09-17 13:43:53,,,,,,,,,,51.9975014,13.9265623,1062.75,1004.02502,17.5,1.0,,14.2,0.0,18.62,52.3031235,
2025-09-17 13:43:54+00:00,2025-09-17 13:43:54,,,,,,,,,,47.2312508,13.8374996,1062.44995,1003.875,17.5,1.0,,14.2,0.0,18.62,52.2843742,
2025-09-17 13:43:55+00:00,2025-09-17 13:43:55,47.85249966666667,54.0,38.0,38.0,38.0,5.853798690400809,210,BO_O2,O2 규칙 적용: 14.0% (>12.0%),39.9599991,13.8374996,1062.07495,1003.65002,17.5125008,1.0,,14.2,0.0,18.62,51.6749992,
2025-09-17 13:43:56+00:00,2025-09-17 13:43:56,,,,,,,,,,38.625,13.7437496,1061.77502,1003.5,17.5125008,1.0,,14.2,0.0,18.62,51.2625008,55.0
2025-09-17 13:43:57+00:00,2025-09-17 13:43:57,,,,,,,,,,38.6100006,13.6625004,1061.40002,1003.27502,16.75,1.0,,14.2,0.0,18.62,48.7781258,
2025-09-17 13:43:58+00:00,2025-09-17 13:43:58,,,,,,,,,,38.6062508,13.6625004,1061.09998,1003.125,16.75,1.0,,14.2,0.0,18.62,44.4375,
2025-09-17 13:43:59+00:00,2025-09-17 13:43:59,,,,,,,,,,38.5987511,13.5968752,1060.72498,1002.82501,16.75,1.0,,14.2,0.0,16.79,40.3968735,
2025-09-17 13:44:00+00:00,2025-09-17 13:44:00,38.0,54.0,38.0,38.0,38.0,5.796027256930733,210,BO_O2,O2 규칙 적용: 13.7% (>12.0%),38.5987511,13.53125,1060.5,1002.67499,16.75,1.0,0.0,14.2,0.0,16.79,36.375,
2025-09-17 13:44:01+00:00,2025-09-17 13:44:01,,,,,,,,,,38.5987511,13.53125,1060.125,1002.45001,16.75,1.0,,14.2,0.0,16.79,32.9812508,
2025-09-17 13:44:02+00:00,2025-09-17 13:44:02,,,,,,,,,,38.6025009,13.4656248,1059.67505,1002.22498,17.1625004,1.0,,14.2,0.0,16.79,30.2156258,
2025-09-17 13:44:03+00:00,2025-09-17 13:44:03,,,,,,,,,,38.5837517,13.4656248,1059.375,1002.0,17.1625004,1.0,,14.2,0.0,16.79,28.9406242,
2025-09-17 13:44:04+00:00,2025-09-17 13:44:04,,,,,,,,,,38.5800018,13.40625,1059.0,1001.77502,17.1749992,1.0,,14.2,0.0,16.79,28.125,
