time,_time_gateway,ACT_SNR_PMP_BO_0,ACT_SNR_PMP_BO_1,ACT_SNR_PMP_BO_2,ACT_SNR_PMP_BO_3,ACT_SNR_PMP_BO_4,SNR_NOX_PRED,SNR_STATUS_CODE,SNR_STAGE,SNR_MESSAGE,SNR_PMP_UW_S_1,BR1_EO_FG_A,ICF_CCS_FG_T_1,ICF_SCS_FG_T_2,ICF_TMS_NOX_A,ACC_SNR_AI_1A,ACT_STATUS,NOX_30m_Value,NOX_EQ_Status,NOX_Value,SNR_EQ_UW_F_1,ACT_SNR_PMP_UW_S,SNR_EQ_UW_F_1_1,SNR_EQ_DW_F_1,SNR_EQ_UW_F_2,IncineratorStatus
2025-10-27 01:39:20+00:00,2025-10-27 01:39:20,,,,,,,,,,19.6612492,2.28593755,960.0,1175.36255,16.7875004,,,23.36,0.0,17.79,,,,,,0.0
2025-10-27 01:39:21+00:00,2025-10-27 01:39:21,,,,,,,,,,19.6612492,2.33124995,960.0,1175.36255,16.3999996,,,23.36,0.0,15.68,,,,,,0.0
2025-10-27 01:39:22+00:00,2025-10-27 01:39:22,,,,,,,,,,19.6612492,2.33124995,960.0,1176.66248,16.0874996,,,23.36,0.0,15.68,,,,,,0.0
2025-10-27 01:39:23+00:00,2025-10-27 01:39:23,,,,,,,,,,19.6612492,2.3453126,961.0,1176.66248,16.0874996,,,23.36,0.0,15.68,,,,,,0.0
2025-10-27 01:39:24+00:00,2025-10-27 01:39:24,,,,,,,,,,19.6612492,2.36249995,960.0,1178.28748,15.9624996,,,23.36,0.0,15.68,,,,,,0.0
2025-10-27 01:39:25+00:00,2025-10-27 01:39:25,,,,,,,,,,19.6612492,2.36249995,960.0,1178.36877,16.1625004,,,23.36,0.0,15.68,,,,,,0.0
2025-10-27 01:39:26+00:00,2025-10-27 01:39:26,,,,,,,,,,19.6612492,2.34843755,960.0,1178.36877,16.1625004,,,23.36,0.0,15.68,,,,,,0.0
2025-10-27 01:39:27+00:00,2025-10-27 01:39:27,,,,,,,,,,19.6612492,2.38593745,960.0,1179.50623,16.2000008,,,23.36,0.0,15.68,,,,,,0.0
2025-10-27 01:39:28+00:00,2025-10-27 01:39:28,,,,,,,,,,19.6612492,2.38593745,960.0,1178.44995,16.1749992,,,23.36,0.0,15.68,,,,,,0.0
2025-10-27 01:39:29+00:00,2025-10-27 01:39:29,,,,,,,,,,19.6612492,2.4749999,959.0,1178.44995,16.1749992,,,23.36,0.0,15.68,,,,,,0.0
2025-10-27 01:39:30+00:00,2025-10-27 01:39:30,,,,,,,,,,19.6612492,2.4749999,959.0,1181.13123,15.9875002,,,23.36,0.0,15.68,,,,,,0.0
2025-10-27 01:39:31+00:00,2025-10-27 01:39:31,,,,,,,,,,19.6612492,2.5062499,959.0,1181.13123,15.9875002,,,23.36,0.0,15.68,,,,,,0.0
2025-10-27 01:39:32+00:00,2025-10-27 01:39:32,,,,,,,,,,19.6612492,2.5062499,959.0,1181.94373,15.6999998,,,23.36,0.0,15.14,,,,,,0.0
2025-10-27 01:39:33+00:00,2025-10-27 01:39:33,,,,,,,,,,19.6612492,2.6156249,960.0,1181.94373,15.6999998,,,23.36,0.0,15.14,,,,,,0.0
2025-10-27 01:39:34+00:00,2025-10-27 01:39:34,,,,,,,,,,19.6612492,2.6156249,960.0,1182.1875,15.8125,,,23.36,0.0,15.14,,,,,,0.0
2025-10-27 01:39:35+00:00,2025-10-27 01:39:35,,,,,,,,,,19.6612492,2.60625005,960.0,1182.1875,15.8125,,,23.36,0.0,15.14,,,,,,0.0
2025-10-27 01:39:36+00:00,2025-10-27 01:39:36,,,,,,,,,,19.6612492,2.60625005,960.0,1182.43127,15.1000004,,,23.36,0.0,15.14,,,,,,0.0
2025-10-27 01:39:37+00:00,2025-10-27 01:39:37,,,,,,,,,,19.6612492,2.7249999,960.0,1182.43127,15.1000004,,,23.36,0.0,15.14,,,,,,0.0
2025-10-27 01:39:38+00:00,2025-10-27 01:39:38,,,,,,,,,,19.6612492,2.7249999,960.0,1181.4563,14.9125004,,,23.36,0.0,15.14,,,,,,0.0
2025-10-27 01:39:39+00:00,2025-10-27 01:39:39,,,,,,,,,,19.6612492,2.7593751,961.0,1181.4563,14.9125004,,,23.36,0.0,15.14,,,,,,0.0
2025-10-27 01:39:40+00:00,2025-10-27 01:39:40,,,,,,,,,,19.6612492,2.83124995,961.0,1182.59375,15.0874996,,,23.36,0.0,15.14,,,,,,0.0
2025-10-27 01:39:41+00:00,2025-10-27 01:39:41,,,,,,,,,,19.6612492,2.83124995,961.0,1182.9187,14.7749996,,,23.36,0.0,14.16,,,,,,0.0
2025-10-27 01:39:42+00:00,2025-10-27 01:39:42,,,,,,,,,,19.6612492,2.9312501,961.0,1182.9187,14.7749996,,,23.36,0.0,14.16,,,,,,0.0
2025-10-27 01:39:43+00:00,2025-10-27 01:39:43,,,,,,,,,,19.6612492,3.0250001,961.0,1183.32495,14.5625,,,23.36,0.0,14.16,,,,,,0.0
2025-10-27 01:39:44+00:00,2025-10-27 01:39:44,,,,,,,,,,19.6612492,2.97968745,960.0,1184.13745,14.5249996,,,23.36,0.0,14.16,,,,,,0.0
2025-10-27 01:39:45+00:00,2025-10-27 01:39:45,,,,,,,,,,19.6612492,2.97968745,960.0,1183.32495,14.3249998,,,23.36,0.0,14.16,,,,,,0.0
2025-10-27 01:39:46+00:00,2025-10-27 01:39:46,,,,,,,,,,19.6612492,3.0484376,959.0,1183.32495,14.3249998,,,23.36,0.0,14.16,,,,,,0.0
2025-10-27 01:39:47+00:00,2025-10-27 01:39:47,,,,,,,,,,19.6612492,3.12968755,961.0,1183.48755,14.4375,,,23.36,0.0,14.16,,,,,,0.0
