time,_time_gateway,ACT_SNR_PMP_BO_0,ACT_SNR_PMP_BO_1,ACT_SNR_PMP_BO_2,ACT_SNR_PMP_BO_3,ACT_SNR_PMP_BO_4,SNR_NOX_PRED,SNR_STATUS_CODE,SNR_STAGE,SNR_MESSAGE,SNR_PMP_UW_S_1,BR1_EO_O2_A,ICF_CCS_FG_T_1,ICF_SCS_FG_T_1,ICF_TMS_NOX_A,ACC_SNR_AI_1A,ACT_STATUS,NOX_30m_Value,NOX_EQ_Status,NOX_Value,SNR_EQ_UW_F_1,ACT_SNR_PMP_UW_S,SNR_EQ_UW_F_1_1,SNR_EQ_DW_F_1,SNR_EQ_UW_F_2,IncineratorStatus
2025-10-17 08:25:24+00:00,2025-10-17 08:25:24,,,,,,,,,,39.6899986,10.4734373,1040.55005,920.549988,16.5249996,1.0,,17.31,0.0,16.58,29.1375008,,29.1375008,0.0,162.149994,0.0
2025-10-17 08:25:25+00:00,2025-10-17 08:25:25,39.0,39.0,39.0,39.0,39.0,15.063369091669205,100.0,BO_ONLY,"BO 모델 결과만 사용 (1단계 롤백, 2~4단계에서 Hz 변화 없음)",39.6824989,10.5093746,1040.25,920.400024,16.5,1.0,,17.31,0.0,16.58,29.15625,,29.15625,0.0,162.149994,0.0
2025-10-17 08:25:26+00:00,2025-10-17 08:25:26,,,,,,,,,,39.6862488,10.5484371,1039.72498,920.099976,16.5,1.0,,17.31,0.0,16.58,29.1656246,,29.1656246,0.0,162.074997,0.0
2025-10-17 08:25:27+00:00,2025-10-17 08:25:27,,,,,,,,,,39.6899986,10.5484371,1039.42505,920.025024,16.5,1.0,,17.31,0.0,16.58,29.1656246,38.0,29.1656246,0.0,162.074997,0.0
2025-10-17 08:25:28+00:00,2025-10-17 08:25:28,,,,,,,,,,39.6899986,10.5890627,1038.97498,919.799988,16.5,1.0,,17.31,0.0,16.58,29.1656246,,29.1656246,0.0,162.149994,0.0
2025-10-17 08:25:29+00:00,2025-10-17 08:25:29,,,,,,,,,,39.6862488,10.6312504,1038.59998,919.650024,16.5,1.0,,17.31,0.0,16.58,29.15625,,29.15625,0.0,162.149994,0.0
2025-10-17 08:25:30+00:00,2025-10-17 08:25:30,39.0,39.0,39.0,39.0,39.0,14.656555216152109,100.0,BO_ONLY,"BO 모델 결과만 사용 (1단계 롤백, 2~4단계에서 Hz 변화 없음)",39.6862488,10.6312504,1038.15002,919.424988,16.5,1.0,,17.31,0.0,16.58,29.1656246,,29.1656246,0.0,162.074997,0.0
2025-10-17 08:25:31+00:00,2025-10-17 08:25:31,,,,,,,,,,39.6862488,10.6750002,1037.77502,919.275024,16.5,1.0,,17.31,0.0,16.58,29.1656246,,29.1656246,0.0,162.074997,0.0
2025-10-17 08:25:32+00:00,2025-10-17 08:25:32,,,,,,,,,,39.6899986,10.6750002,1037.32495,918.974976,16.5,1.0,,17.31,0.0,16.49,29.1656246,,29.1656246,0.0,162.074997,0.0
2025-10-17 08:25:33+00:00,2025-10-17 08:25:33,,,,,,,,,,39.6862488,10.71875,1037.02502,918.825012,16.5,1.0,,17.31,0.0,16.49,29.15625,,29.15625,0.0,162.074997,0.0
